José  Guarnizo|jos19gr|38|108|0|10|
Carla Alvarez|clisethar|3|13|0|12|
Diego Romero Armijos|diegoacuario|516|1275|4|119|
Diseños De Fiestas|DisenosDeFiesta|34083|24254|11|21|
Dichos De Mujeres|IDichoDeMujeres|103378|96806|67|32|
Tatto Adict⚠️|TattoAdict|30530|26705|31|31|
AMOR SABIO|AmorSabio_|299316|220181|206|1393|
